season,stage,round,team,points,position,goal_diff
2025/26,regular,1,M. Tel Aviv,3,1,4
2025/26,regular,1,Maccabi Haifa,3,1,4
2025/26,regular,1,H. Beer Sheva,3,3,2
2025/26,regular,1,B. Jerusalem,3,4,1
2025/26,regular,1,FC Ashdod,3,4,1
2025/26,regular,1,Hapoel Tel Aviv,1,6,1
2025/26,regular,1,Bnei Sakhnin,0,7,-1
2025/26,regular,1,H. Jerusalem,0,7,-1
2025/26,regular,1,Kiryat Shmona,0,7,-1
2025/26,regular,1,Hapoel Haifa,0,10,-1
2025/26,regular,1,Maccabi Netanya,0,11,-2
2025/26,regular,1,H. Petah Tikva,0,12,-4
2025/26,regular,1,M. Bnei Reineh,0,12,-4
2025/26,regular,1,Ironi Tiberias,-5,14,1
2025/26,regular,2,H. Beer Sheva,6,1,9
2025/26,regular,2,M. Tel Aviv,6,2,8
2025/26,regular,2,Maccabi Haifa,4,3,4
2025/26,regular,2,B. Jerusalem,4,4,1
2025/26,regular,2,Bnei Sakhnin,3,5,0
2025/26,regular,2,FC Ashdod,3,5,0
2025/26,regular,2,Hapoel Haifa,3,7,0
2025/26,regular,2,Hapoel Tel Aviv,2,8,1
2025/26,regular,2,Kiryat Shmona,1,9,-1
2025/26,regular,2,M. Bnei Reineh,1,10,-4
2025/26,regular,2,H. Petah Tikva,1,11,-4
2025/26,regular,2,H. Jerusalem,0,12,-2
2025/26,regular,2,Maccabi Netanya,0,13,-6
2025/26,regular,2,Ironi Tiberias,-5,14,-6
2025/26,regular,3,H. Beer Sheva,9,1,13
2025/26,regular,3,M. Tel Aviv,9,2,11
2025/26,regular,3,Maccabi Haifa,7,3,8
2025/26,regular,3,Hapoel Haifa,6,4,2
2025/26,regular,3,Hapoel Tel Aviv,5,5,2
2025/26,regular,3,Kiryat Shmona,4,6,1
2025/26,regular,3,B. Jerusalem,4,7,0
2025/26,regular,3,H. Petah Tikva,4,8,-2
2025/26,regular,3,Bnei Sakhnin,3,9,-2
2025/26,regular,3,FC Ashdod,3,10,-4
2025/26,regular,3,M. Bnei Reineh,1,11,-6
2025/26,regular,3,H. Jerusalem,0,12,-6
2025/26,regular,3,Maccabi Netanya,0,13,-8
2025/26,regular,3,Ironi Tiberias,-5,14,-9
2025/26,regular,4,H. Beer Sheva,12,1,15
2025/26,regular,4,M. Tel Aviv,12,2,12
2025/26,regular,4,Maccabi Haifa,8,3,8
2025/26,regular,4,Hapoel Tel Aviv,8,4,6
2025/26,regular,4,H. Petah Tikva,7,5,3
2025/26,regular,4,Hapoel Haifa,7,6,2
2025/26,regular,4,B. Jerusalem,7,7,1
2025/26,regular,4,Kiryat Shmona,4,8,0
2025/26,regular,4,Bnei Sakhnin,3,9,-4
2025/26,regular,4,Maccabi Netanya,3,10,-5
2025/26,regular,4,FC Ashdod,3,11,-8
2025/26,regular,4,M. Bnei Reineh,1,12,-11
2025/26,regular,4,H. Jerusalem,0,13,-7
2025/26,regular,4,Ironi Tiberias,-5,14,-12
2025/26,regular,5,H. Beer Sheva,15,1,16
2025/26,regular,5,M. Tel Aviv,13,2,12
